Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TimeSinceRemodal
11,20,6,70.0,11200,2,1,1,1,1,1,20,3,3,1,1,5,5,1965,1965,4,2,7,7,4,0.0,3,3,2,3,3,4,5,906,6,0,134,2,1,2,1,0,1040,1,0,1,0,3,1,3,5,1,0,6,6,1965.0,3,1,3,3,1,0,0,0,0,0,0,0,2,2008,1,1,129500,2464,55
12,60,6,85.0,11924,2,2,1,1,1,1,16,3,3,1,4,9,5,2005,2006,4,2,17,16,5,286.0,1,3,3,1,3,4,1,998,6,0,177,2,1,2,1,0,2324,1,0,3,0,4,1,1,11,1,2,2,4,2005.0,1,3,3,3,1,147,21,0,0,0,0,0,7,2006,4,6,345000,4235,14
13,20,6,0.0,12968,2,3,1,1,1,1,20,3,3,1,1,5,6,1962,1962,4,2,7,11,4,0.0,3,3,2,3,3,4,2,737,6,0,175,2,3,2,1,0,912,1,0,1,0,2,1,3,4,1,0,6,6,1962.0,3,1,3,3,1,140,0,0,0,176,0,0,9,2008,1,1,144000,2176,58
14,20,6,91.0,10652,2,2,1,1,1,1,6,3,3,1,1,7,5,2006,2007,2,2,15,15,5,306.0,2,3,3,2,3,2,6,0,6,0,1494,2,1,2,1,0,1494,0,0,2,0,3,1,2,7,1,1,2,2,2006.0,2,3,3,3,1,160,33,0,0,0,0,0,8,2007,4,6,279500,3828,13
15,20,6,0.0,10920,2,2,1,1,2,1,13,3,3,1,1,6,5,1960,1960,4,2,9,9,2,212.0,3,3,2,3,3,4,3,733,6,0,520,2,3,2,1,0,1253,1,0,1,1,2,1,3,5,1,1,4,2,1960.0,2,1,3,3,1,0,213,176,0,0,0,0,5,2008,1,1,157000,2858,60
16,45,8,51.0,6120,2,1,1,1,2,1,4,3,3,1,3,7,8,1929,2001,2,2,16,16,4,0.0,3,3,1,3,3,4,6,0,6,0,832,2,1,2,2,0,854,0,0,1,0,2,1,3,5,1,0,6,6,1991.0,3,2,3,3,1,48,112,0,0,0,0,0,7,2007,1,1,132000,2262,19
17,20,6,0.0,11241,2,2,1,1,3,1,13,3,3,1,1,6,7,1970,1970,2,2,16,16,2,180.0,3,3,2,3,3,4,2,578,6,0,426,2,1,2,1,0,1004,1,0,1,0,2,1,3,5,1,1,3,2,1970.0,1,2,3,3,1,0,0,0,0,0,0,700,3,2010,1,1,149000,2488,50
18,90,6,72.0,10791,2,1,1,1,1,1,20,3,3,3,1,4,5,1967,1967,2,2,9,9,4,0.0,3,3,4,6,6,5,7,0,7,0,0,2,3,2,1,0,1296,0,0,2,0,2,2,3,6,1,0,6,5,1967.0,3,2,3,3,1,0,0,0,0,0,0,500,10,2006,1,1,90000,1812,53
19,20,6,66.0,13695,2,1,1,1,1,1,21,9,3,1,1,5,5,2004,2004,2,2,15,15,4,0.0,3,3,3,3,3,4,1,646,6,0,468,2,1,2,1,0,1114,1,0,1,1,3,1,2,6,1,0,6,6,2004.0,3,2,3,3,1,0,102,0,0,0,0,0,6,2008,1,1,159000,2804,16
20,20,6,70.0,7560,2,1,1,1,1,1,13,3,3,1,1,5,6,1958,1965,4,2,4,11,4,0.0,3,3,2,3,3,4,4,504,6,0,525,2,3,2,1,0,1339,0,0,1,0,3,1,3,6,2,0,6,2,1958.0,3,1,3,3,1,0,0,0,0,0,0,0,5,2009,5,2,139000,2662,55
21,60,6,101.0,14215,2,2,1,1,2,1,16,3,3,1,4,8,5,2005,2006,2,2,15,15,2,380.0,2,3,3,1,3,2,6,0,6,0,1158,2,1,2,1,0,2376,0,0,3,1,4,1,2,9,1,1,2,4,2005.0,2,3,3,3,1,240,154,0,0,0,0,0,11,2006,4,6,325300,4387,14
22,45,8,57.0,7449,2,1,2,1,1,1,10,3,3,1,3,7,7,1930,1950,2,2,16,16,4,0.0,3,3,3,3,3,4,6,0,6,0,637,2,1,2,3,0,1108,0,0,1,0,3,1,2,6,1,1,2,2,1930.0,3,1,3,3,3,0,0,205,0,0,0,0,6,2007,1,1,139400,2025,70
23,20,6,75.0,9742,2,1,1,1,1,1,6,3,3,1,1,8,5,2002,2002,4,2,15,15,2,281.0,2,3,3,2,3,4,6,0,6,0,1777,2,1,2,1,0,1795,0,0,2,0,3,1,2,7,1,1,2,2,2002.0,2,2,3,3,1,171,159,0,0,0,0,0,9,2008,1,1,230000,4106,18
24,120,8,44.0,4224,2,1,1,1,1,1,11,3,3,4,1,5,7,1976,1976,2,2,6,6,4,0.0,3,3,3,2,3,4,1,840,6,0,200,2,3,2,1,0,1060,1,0,1,0,3,1,3,6,1,1,3,2,1976.0,3,2,3,3,1,100,110,0,0,0,0,0,6,2007,1,1,129900,2672,44
25,20,6,0.0,8246,2,2,1,1,1,1,20,3,3,1,1,5,8,1968,2001,2,2,11,11,4,0.0,3,2,2,3,3,3,5,188,2,668,204,2,1,2,1,0,1060,1,0,1,0,3,1,2,6,1,1,3,2,1968.0,3,1,3,3,1,406,90,0,0,0,0,0,5,2010,1,1,154000,2390,19
26,20,6,110.0,14230,2,1,1,1,2,1,16,3,3,1,1,8,5,2007,2007,2,2,15,15,5,640.0,2,3,3,2,3,4,6,0,6,0,1566,2,1,2,1,0,1600,0,0,2,0,3,1,2,7,1,1,2,2,2007.0,2,3,3,3,1,0,56,0,0,0,0,0,7,2009,1,1,256300,4056,13
27,20,6,60.0,7200,2,1,1,1,2,1,13,3,3,1,1,5,7,1951,2000,2,2,16,16,4,0.0,3,3,2,3,3,3,3,234,5,486,180,2,3,2,1,0,900,0,1,1,0,3,1,2,5,1,0,6,6,2005.0,3,2,3,3,1,222,32,0,0,0,0,0,5,2010,1,1,134800,2376,20
28,20,6,98.0,11478,2,1,1,1,1,1,16,3,3,1,1,8,5,2007,2008,2,2,15,15,5,200.0,2,3,3,1,3,4,1,1218,6,0,486,2,1,2,1,0,1704,1,0,2,0,3,1,2,7,1,1,2,2,2008.0,2,3,3,3,1,0,50,0,0,0,0,0,5,2010,1,1,306000,4180,12
29,20,6,47.0,16321,2,2,1,1,3,1,13,3,3,1,1,5,6,1957,1997,2,2,9,9,4,0.0,3,3,2,3,3,1,3,1277,6,0,207,2,3,2,1,0,1600,1,0,1,0,2,1,3,6,1,2,2,2,1957.0,2,1,3,3,1,288,258,0,0,0,0,0,12,2006,1,1,207500,3403,23
30,30,8,60.0,6324,2,2,1,1,1,1,4,2,4,1,1,4,6,1927,1950,2,2,9,9,4,0.0,3,3,1,3,3,4,6,0,6,0,520,2,4,1,1,0,520,0,0,1,0,1,1,4,4,1,0,6,6,1920.0,3,1,4,3,1,49,0,87,0,0,0,0,5,2008,1,1,68500,1280,70
31,70,2,50.0,8500,2,1,1,1,1,1,10,2,3,1,4,4,4,1920,1950,3,2,4,4,4,0.0,3,4,1,3,3,4,6,0,6,0,649,2,3,1,1,0,1317,0,0,1,0,3,1,3,6,1,0,6,6,1920.0,3,1,3,4,3,0,54,172,0,0,0,0,7,2008,1,1,40000,2216,70
32,20,6,0.0,8544,2,2,1,1,3,1,20,3,3,1,1,5,6,1966,2006,2,2,7,7,4,0.0,3,3,2,3,3,4,6,0,6,0,1228,2,2,2,1,0,1228,0,0,1,1,3,1,2,6,1,0,6,2,1966.0,3,1,3,3,1,0,65,0,0,0,0,0,6,2008,1,1,149350,2727,14
33,20,6,85.0,11049,2,1,1,1,2,1,6,3,3,1,1,8,5,2007,2007,2,2,15,15,4,0.0,2,3,3,1,3,2,6,0,6,0,1234,2,1,2,1,0,1234,0,0,2,0,3,1,2,7,1,0,6,2,2007.0,2,2,3,3,1,0,30,0,0,0,0,0,1,2008,1,1,179900,2952,13
34,20,6,70.0,10552,2,2,1,1,1,1,13,3,3,1,1,5,5,1959,1959,4,2,4,4,4,0.0,3,3,2,3,3,4,5,1018,6,0,380,2,2,2,1,0,1700,0,1,1,1,4,1,2,6,1,1,2,2,1959.0,2,2,3,3,1,0,38,0,0,0,0,0,4,2010,1,1,165500,3545,61
35,120,6,60.0,7313,2,1,1,1,1,1,16,3,3,4,1,9,5,2005,2005,4,2,9,9,2,246.0,1,3,3,1,3,4,1,1153,6,0,408,2,1,2,1,0,1561,1,0,2,0,2,1,1,6,1,1,2,2,2005.0,1,2,3,3,1,203,47,0,0,0,0,0,8,2007,1,1,277500,3678,15
36,60,6,108.0,13418,2,1,1,1,1,1,16,3,3,1,4,8,5,2004,2005,2,2,15,15,5,132.0,2,3,3,1,3,2,6,0,6,0,1117,2,1,2,1,0,2452,0,0,3,1,4,1,2,9,1,1,2,4,2004.0,1,3,3,3,1,113,32,0,0,0,0,0,9,2006,1,1,309000,4260,15
37,20,6,112.0,10859,2,1,1,1,2,1,6,3,3,1,1,5,5,1994,1995,2,2,15,15,4,0.0,3,3,3,2,3,4,6,0,6,0,1097,2,1,2,1,0,1097,0,0,1,1,3,1,3,6,1,0,6,2,1995.0,3,2,3,3,1,392,64,0,0,0,0,0,6,2009,1,1,145000,2866,25
38,20,6,74.0,8532,2,1,1,1,1,1,13,3,3,1,1,5,6,1954,1990,4,2,16,16,2,650.0,3,3,2,3,3,4,5,1213,6,0,84,2,2,2,1,0,1297,0,1,1,0,3,1,3,5,1,1,3,2,1954.0,1,2,3,3,1,0,0,0,0,0,0,0,10,2009,1,1,153000,3092,30
39,20,6,68.0,7922,2,1,1,1,1,1,13,3,3,1,1,5,7,1953,2007,2,2,15,15,4,0.0,3,2,2,3,3,4,1,731,6,0,326,2,3,2,1,0,1057,1,0,1,0,3,1,2,5,1,0,6,6,1953.0,3,1,3,3,1,0,52,0,0,0,0,0,1,2010,1,2,109000,2360,13
40,90,6,65.0,6040,2,1,1,1,1,1,8,3,3,3,1,4,5,1955,1955,2,2,1,11,4,0.0,3,3,3,6,6,5,7,0,7,0,0,2,3,1,4,0,1152,0,0,2,0,2,2,4,6,1,0,6,7,,4,0,6,6,3,0,0,0,0,0,0,0,6,2008,1,3,82000,1152,65
41,20,6,84.0,8658,2,1,1,1,1,1,13,3,3,1,1,6,5,1965,1965,2,2,16,16,2,101.0,3,3,2,3,3,4,5,643,6,0,445,2,1,2,1,0,1324,0,0,2,0,3,1,3,6,1,1,3,2,1965.0,2,2,3,3,1,0,138,0,0,0,0,0,12,2006,1,2,160000,2852,55
42,20,6,115.0,16905,2,1,1,1,1,1,24,3,3,1,1,5,6,1959,1959,2,2,15,15,4,0.0,3,2,2,3,3,1,3,967,6,0,383,2,2,2,1,0,1328,0,1,1,1,2,1,3,5,1,2,2,2,1959.0,2,1,3,3,2,0,104,0,0,0,0,0,7,2007,1,1,170000,2986,61
43,85,6,0.0,9180,2,2,1,1,3,1,21,3,3,1,7,5,7,1983,1983,2,2,7,7,4,0.0,3,3,2,2,3,2,2,747,4,93,0,2,2,2,1,0,884,1,0,1,0,2,1,2,5,1,0,6,2,1983.0,2,2,3,2,1,240,0,0,0,0,0,0,12,2007,1,1,144000,2228,37
44,20,6,0.0,9200,2,2,1,1,3,1,6,3,3,1,1,5,6,1975,1980,4,2,15,15,4,0.0,3,3,2,2,3,2,4,280,3,491,167,2,3,2,1,0,938,1,0,1,0,3,1,3,5,1,0,6,6,1977.0,3,1,3,3,1,145,0,0,0,0,0,0,7,2008,1,1,130250,2184,40
45,20,6,70.0,7945,2,1,1,1,1,1,13,3,3,1,1,5,6,1959,1959,2,2,4,16,4,0.0,3,3,2,3,3,4,2,179,3,506,465,2,1,2,2,0,1150,1,0,1,0,3,1,3,6,1,0,6,2,1959.0,2,1,3,3,1,0,0,0,0,0,0,0,5,2006,1,1,141000,2600,61
46,120,6,61.0,7658,2,1,1,1,1,1,16,3,3,4,1,9,5,2005,2005,4,2,9,9,2,412.0,1,3,3,1,3,4,1,456,6,0,1296,2,1,2,1,0,1752,1,0,2,0,2,1,1,6,1,1,2,2,2005.0,2,2,3,3,1,196,82,0,0,0,0,0,2,2010,1,1,319900,4080,15
47,50,6,48.0,12822,2,2,1,1,3,1,12,3,3,1,2,7,5,2003,2003,2,2,15,15,4,0.0,2,3,3,1,3,4,1,1351,6,0,83,2,1,2,1,0,2149,1,0,1,1,1,1,2,6,1,1,1,2,2003.0,2,2,3,3,1,168,43,0,0,198,0,0,8,2009,1,2,239686,4253,17
48,20,3,84.0,11096,2,1,1,1,1,1,22,3,3,1,1,8,5,2006,2006,2,2,15,15,4,0.0,2,3,3,2,3,2,1,24,6,0,1632,2,1,2,1,0,1656,0,0,2,0,3,1,2,7,1,0,6,2,2006.0,2,3,3,3,1,0,146,0,0,0,0,0,7,2007,1,1,249700,4138,14
49,190,8,33.0,4456,2,1,1,1,1,1,18,3,3,2,4,4,5,1920,2008,2,2,9,9,4,0.0,3,3,1,3,3,4,6,0,6,0,736,2,2,2,1,0,1452,0,0,2,0,2,3,3,8,1,0,6,7,,4,0,6,6,3,0,0,102,0,0,0,0,6,2009,4,6,113000,2188,12
50,20,6,66.0,7742,2,1,1,1,1,1,20,3,3,1,1,5,7,1966,1966,2,2,7,7,4,0.0,3,3,2,3,3,4,3,763,6,0,192,2,1,2,1,0,955,1,0,1,0,3,1,3,6,1,0,6,2,1966.0,3,1,3,3,1,0,0,0,0,0,0,0,1,2007,1,1,127000,2296,54
51,60,6,0.0,13869,2,3,1,1,2,1,9,3,3,1,4,6,6,1997,1997,2,2,15,15,4,0.0,3,3,3,2,3,2,1,182,6,0,612,2,2,2,1,0,1470,0,1,2,0,3,1,3,6,1,0,6,2,1997.0,1,2,3,3,1,0,75,0,0,0,0,0,7,2007,1,1,177000,2652,23
52,50,8,52.0,6240,2,1,1,1,1,1,4,3,3,1,2,6,6,1934,1950,2,2,16,16,4,0.0,3,3,3,3,3,4,6,0,6,0,816,2,3,2,1,360,1176,0,0,1,0,3,1,3,6,1,1,2,6,1985.0,3,2,3,3,1,112,0,0,0,0,0,400,9,2006,1,1,114500,2160,70
53,90,8,110.0,8472,1,3,2,1,2,2,10,4,3,3,1,5,5,1963,1963,2,2,16,16,4,0.0,4,3,2,2,3,1,4,104,1,712,0,2,3,1,1,0,816,1,0,1,0,2,1,3,5,1,0,6,5,1963.0,3,2,3,3,1,106,0,0,0,0,0,0,5,2010,1,1,110000,2148,57
54,20,6,68.0,50271,2,2,4,1,1,1,25,3,3,1,1,9,5,1981,1987,2,8,17,16,4,0.0,2,3,2,1,3,1,1,1810,6,0,32,2,2,2,1,0,1842,2,0,0,1,0,1,2,5,1,1,2,2,1981.0,1,3,3,3,1,857,72,0,0,0,0,0,11,2006,1,1,385000,4578,33
55,80,6,60.0,7134,2,1,2,1,1,2,13,3,3,1,8,5,5,1955,1955,2,2,9,9,4,0.0,3,3,2,3,3,4,2,384,6,0,0,2,3,2,1,0,1360,0,0,1,0,3,1,3,6,2,1,3,6,1962.0,3,2,3,3,1,0,50,0,0,0,0,0,2,2007,1,1,130000,2316,65
56,20,6,100.0,10175,2,2,1,1,1,1,13,3,3,1,1,6,5,1964,1964,2,2,7,11,2,272.0,3,3,2,3,3,4,3,490,6,0,935,2,2,2,1,0,1425,0,0,2,0,3,1,3,7,1,1,2,2,1964.0,2,2,3,3,1,0,0,0,407,0,0,0,7,2008,1,1,180500,3426,56
57,160,3,24.0,2645,2,1,1,1,1,1,22,3,3,6,4,8,5,1999,2000,2,2,9,9,2,456.0,2,3,3,2,3,4,1,649,6,0,321,2,1,2,1,0,1739,1,0,2,1,3,1,2,7,1,0,6,2,1999.0,1,2,3,3,1,115,0,0,0,0,0,0,8,2009,1,2,172500,3189,20
58,60,6,89.0,11645,2,2,1,1,2,1,6,3,3,1,4,7,5,2004,2004,2,2,15,15,4,0.0,2,3,3,2,3,4,6,0,6,0,860,2,1,2,1,0,1720,0,0,2,1,3,1,2,7,1,0,6,2,2004.0,2,2,3,3,1,0,70,0,0,0,0,0,8,2006,1,1,196500,3145,16
59,60,6,66.0,13682,2,3,3,1,3,1,23,3,3,1,4,10,5,2006,2006,4,2,15,15,2,1031.0,1,3,3,1,3,1,6,0,6,0,1410,2,1,2,1,0,2945,0,0,3,1,3,1,2,10,1,1,2,4,2006.0,1,3,3,3,1,192,0,37,0,0,0,0,10,2006,4,6,438780,4996,14
60,20,6,60.0,7200,2,1,2,1,1,1,6,3,3,1,1,5,7,1972,1972,2,2,7,7,4,0.0,3,3,2,3,3,2,2,632,6,0,148,2,1,2,1,0,780,0,0,1,0,2,1,3,4,1,0,6,6,1973.0,3,1,3,3,1,196,0,0,0,0,0,0,1,2008,1,1,124900,1912,48
61,20,6,63.0,13072,2,1,1,1,1,1,21,9,3,1,1,6,5,2004,2004,2,2,15,15,4,0.0,3,3,3,2,3,4,2,941,6,0,217,2,1,2,1,0,1158,1,0,1,1,3,1,2,5,1,0,6,6,2006.0,3,2,3,3,1,0,50,0,0,0,0,0,5,2006,4,6,158000,2892,16
62,75,8,60.0,7200,2,1,1,1,1,1,10,3,3,1,6,5,7,1920,1996,2,2,9,9,4,0.0,3,3,1,3,4,4,6,0,6,0,530,2,3,1,1,0,1111,0,0,1,0,3,1,4,6,1,0,6,6,1935.0,3,1,3,3,3,0,0,144,0,0,0,0,3,2007,1,1,101000,1929,24
63,120,6,44.0,6442,2,2,1,1,1,1,16,3,3,4,1,8,5,2006,2006,2,2,15,15,5,178.0,2,3,3,2,2,3,1,24,6,0,1346,2,1,2,1,0,1370,0,0,2,0,2,1,2,6,1,1,2,2,2006.0,2,2,3,3,1,120,49,0,0,0,0,0,10,2007,1,1,202500,3224,14
64,70,8,50.0,10300,2,2,2,1,1,1,18,5,2,1,4,7,6,1921,1950,2,2,14,14,4,0.0,3,3,1,3,3,4,6,0,6,0,576,2,2,2,1,0,1710,0,0,2,0,3,1,3,9,1,0,6,6,1990.0,3,2,3,3,1,12,11,64,0,0,0,0,4,2010,1,1,140000,2766,70
65,60,6,0.0,9375,2,1,1,1,1,1,6,3,3,1,4,7,5,1997,1998,2,2,15,15,2,573.0,3,3,3,2,3,4,1,739,6,0,318,2,1,2,1,0,2034,1,0,2,1,3,1,2,8,1,0,6,2,1998.0,2,2,3,3,1,576,36,0,0,0,0,0,2,2009,1,1,219500,3736,22
66,60,6,76.0,9591,2,1,1,1,1,1,16,3,3,1,4,8,5,2004,2005,2,2,15,15,2,344.0,2,3,3,1,3,2,6,0,6,0,1143,2,1,2,1,0,2473,0,0,2,1,4,1,2,9,1,1,2,4,2004.0,2,3,3,3,1,192,151,0,0,0,0,0,10,2007,1,1,317000,4468,15
67,20,6,0.0,19900,2,1,1,1,1,1,13,7,3,1,1,7,5,1970,1989,2,2,11,11,2,287.0,3,3,2,2,3,1,1,912,6,0,1035,2,3,2,1,0,2207,1,0,2,0,3,1,3,7,2,1,2,2,1970.0,2,2,3,3,1,301,0,0,0,0,0,0,7,2010,1,1,180000,4730,31
68,20,6,72.0,10665,2,2,1,1,1,1,6,3,3,1,1,7,5,2003,2003,2,2,15,15,2,167.0,2,3,3,2,3,2,1,1013,6,0,440,2,1,2,1,0,1479,1,0,2,0,3,1,2,7,1,0,6,2,2003.0,2,2,3,3,1,144,29,0,0,0,0,0,6,2007,1,1,226000,3490,17
69,30,8,47.0,4608,2,1,1,1,2,1,18,1,3,1,1,4,6,1945,1950,2,2,9,9,4,0.0,3,2,2,3,3,4,6,0,6,0,747,2,3,2,1,0,747,0,0,1,0,2,1,3,4,1,0,6,2,1945.0,3,1,3,3,1,0,0,0,0,0,0,0,6,2010,1,1,80000,1714,70
70,50,6,81.0,15593,2,1,1,1,2,1,5,3,3,1,2,7,4,1953,1953,2,2,4,1,4,0.0,2,3,2,3,3,4,3,603,6,0,701,3,3,2,1,0,2287,0,0,2,0,3,1,3,7,1,1,3,2,1953.0,1,2,3,3,1,0,21,114,0,0,0,0,7,2006,1,1,225000,4258,67
71,20,6,95.0,13651,2,2,1,1,1,1,13,3,3,1,1,7,6,1973,1973,2,2,11,11,2,1115.0,3,2,2,2,3,1,2,1880,6,0,343,2,1,2,1,0,2223,1,0,2,0,3,1,3,8,1,2,2,2,1973.0,1,2,3,3,1,300,0,0,0,0,0,0,2,2007,1,1,244000,4962,47
72,20,6,69.0,7599,2,1,1,1,2,1,12,3,3,1,1,4,6,1982,2006,2,2,7,11,4,0.0,3,3,2,3,3,4,2,565,6,0,280,2,3,2,1,0,845,1,0,1,0,2,1,3,4,1,0,6,6,1987.0,3,2,3,3,1,0,0,0,0,0,0,0,6,2007,1,1,129500,2050,14
73,60,6,74.0,10141,2,2,1,1,2,1,9,3,3,1,4,7,5,1998,1998,2,2,15,15,2,40.0,3,3,3,2,3,4,6,0,6,0,832,2,2,2,1,0,1718,0,0,2,1,3,1,3,7,1,1,3,2,1998.0,1,2,3,3,1,0,94,0,0,291,0,0,12,2009,1,1,185000,2977,22
74,20,6,85.0,10200,2,1,1,1,1,1,13,3,3,1,1,5,7,1954,2003,2,2,16,16,2,104.0,3,3,2,3,3,4,2,320,3,362,404,2,2,2,1,0,1086,1,0,1,0,3,1,3,6,1,0,6,2,1989.0,3,2,3,3,1,0,0,0,0,0,0,0,5,2010,1,1,144900,2662,17
75,50,8,60.0,5790,2,1,1,1,2,1,18,3,3,1,4,3,6,1915,1950,3,2,15,15,4,0.0,2,2,2,4,3,4,6,0,6,0,840,2,2,1,1,0,1605,0,0,2,0,3,2,3,8,1,0,6,6,1915.0,3,1,3,3,1,0,0,202,0,0,0,0,5,2010,1,1,107400,2824,70
76,180,8,21.0,1596,2,1,1,1,1,1,11,3,3,6,8,4,5,1973,1973,2,2,6,6,4,0.0,3,3,2,2,3,1,1,462,6,0,0,2,3,2,1,0,988,1,0,1,0,2,1,3,5,1,0,6,4,1973.0,3,1,3,3,1,120,101,0,0,0,0,0,11,2009,1,1,91000,1747,47
77,20,6,0.0,8475,2,2,1,1,1,1,13,3,3,1,1,4,7,1956,1956,2,2,15,15,4,0.0,3,3,2,3,3,4,2,228,6,0,724,2,1,2,2,0,952,0,0,1,0,2,1,3,4,1,0,6,6,1956.0,3,1,3,3,1,0,0,0,0,0,0,0,4,2008,1,1,135750,2187,64
78,50,8,50.0,8635,2,1,1,1,1,1,4,3,3,1,2,5,5,1948,2001,2,2,16,16,4,0.0,3,3,2,3,3,4,3,336,1,41,295,2,3,2,1,0,1285,1,0,1,0,2,1,3,6,2,0,6,6,1948.0,3,1,3,3,1,0,0,0,0,0,0,0,1,2008,1,1,127000,2197,19
79,90,6,72.0,10778,2,1,1,1,1,1,20,3,3,3,1,4,5,1968,1968,4,2,7,7,4,0.0,3,3,2,3,3,4,6,0,6,0,1768,2,3,1,1,0,1768,0,0,2,0,4,2,3,8,1,0,6,7,,4,0,6,6,1,0,0,0,0,0,0,0,4,2010,1,1,136500,3536,52
